時間,CO2(ppm),PM2.5(μg/m³)
2025-04-29 12:35:03,978.6,13.67
2025-04-29 12:35:41,970.6,12.88
2025-04-29 12:36:17,954.6,13.11
2025-04-29 12:36:55,963.6,13.25
2025-04-29 12:37:31,954.6,13.07
2025-04-29 12:38:08,928.6,13.06
2025-04-29 12:38:45,927.6,13.54
2025-04-29 12:39:22,916.6,13.83
2025-04-29 12:39:58,901.6,13.19
2025-04-29 12:40:35,886.6,13.06
2025-04-29 12:42:53,869.6,12.98
2025-04-29 12:43:30,867.6,12.89
2025-04-29 12:44:07,865.6,12.23
2025-04-29 12:44:44,862.6,12.51
2025-04-29 12:45:21,860.6,12.54
2025-04-29 12:45:58,860.6,13.26
2025-04-29 12:46:35,860.6,12.24
2025-04-29 12:47:11,860.6,11.98
2025-04-29 12:47:48,860.6,13.04
2025-04-29 12:48:25,861.6,12.13
2025-04-29 12:49:01,861.6,13.07
2025-04-29 12:49:38,862.6,12.5
2025-04-29 12:50:14,860.6,12.38
2025-04-29 12:50:51,858.6,12.58
2025-04-29 12:51:27,856.6,12.4
2025-04-29 12:52:04,856.6,12.86
2025-04-29 12:52:40,856.6,12.76
2025-04-29 12:53:17,857.6,13.2
2025-04-29 12:53:53,858.6,12.92
2025-04-29 12:54:30,856.6,12.65
2025-04-29 12:55:07,856.6,13.04
2025-04-29 12:55:43,853.6,13.18
2025-04-29 12:56:20,851.6,13.01
2025-04-29 12:56:57,850.6,13.34
2025-04-29 12:57:33,849.6,13.01
2025-04-29 12:58:10,843.6,12.82
2025-04-29 12:58:46,842.6,12.54
2025-04-29 12:59:23,842.6,12.91
2025-04-29 12:59:59,842.6,13.36
2025-04-29 13:00:36,842.6,12.71
2025-04-29 13:01:13,843.6,12.3
2025-04-29 13:01:49,843.6,12.55
2025-04-29 13:02:26,842.6,14.09
2025-04-29 13:03:02,841.6,13.57
2025-04-29 13:03:39,839.6,13.68
2025-04-29 13:04:15,836.6,12.69
2025-04-29 13:04:52,832.6,12.56
2025-04-29 13:05:29,830.6,12.35
2025-04-29 13:06:05,828.6,12.36
2025-04-29 13:06:42,826.6,12.15
2025-04-29 13:07:19,822.6,12.01
2025-04-29 13:07:56,819.6,12.4
2025-04-29 13:08:32,821.6,12.87
2025-04-29 13:09:09,821.6,13.01
2025-04-29 13:09:46,820.6,12.63
2025-04-29 13:10:23,819.6,12.62
2025-04-29 13:10:59,817.6,12.5
