時間,CO2 (ppm),PM2.5 (μg/m³)
2025-04-18 11:56:56,1070,18.8
2025-04-18 11:56:23,1071,18.8
2025-04-18 11:55:49,1071,18.2
2025-04-18 11:55:16,1072,18.5
2025-04-18 11:54:43,1073,19.4
2025-04-18 11:54:10,1073,20.5
2025-04-18 11:53:36,1075,21.0
2025-04-18 11:53:03,1078,19.7
2025-04-18 11:52:30,1081,19.0
2025-04-18 11:51:57,1082,19.2
2025-04-18 11:51:23,1082,20.2
2025-04-18 11:50:50,1081,19.8
2025-04-18 11:50:15,1085,20.5
2025-04-18 11:49:42,1129,19.8
2025-04-18 11:49:08,1304,20.8
2025-04-18 11:48:33,1589,23.4
2025-04-18 11:20:20,1034,21.5
2025-04-18 11:19:47,1030,21.0
2025-04-18 11:19:14,1029,20.3
2025-04-18 11:18:40,1028,21.6
2025-04-18 11:18:06,1024,21.5
2025-04-18 11:17:33,1027,21.6
2025-04-18 11:16:58,1029,21.3
