時間,CO2 (ppm),PM2.5 (μg/m³)
2025-04-16 09:55:54,839,17.7
2025-04-16 09:55:21,837,18.7
2025-04-16 09:54:47,836,18.7
2025-04-16 09:54:14,835,18.0
2025-04-16 09:53:40,832,18.2
2025-04-16 09:53:07,832,18.0
2025-04-16 09:52:33,831,17.0
2025-04-16 09:52:00,832,16.8
2025-04-16 09:51:27,831,17.4
2025-04-16 09:50:53,829,17.1
2025-04-16 09:50:19,826,18.2
2025-04-16 09:49:46,824,17.8
2025-04-16 09:49:11,821,18.1
2025-04-16 09:48:38,818,19.0
2025-04-16 09:47:59,816,18.3
2025-04-16 09:47:25,816,16.6
2025-04-16 09:46:51,813,18.1
2025-04-16 09:46:17,814,18.7
2025-04-16 09:45:42,812,18.5
2025-04-16 09:45:08,814,17.9
2025-04-16 09:44:34,815,18.8
2025-04-16 09:43:59,812,18.4
2025-04-16 09:43:22,810,18.3
2025-04-16 09:42:48,804,18.7
2025-04-16 09:42:14,803,19.7
2025-04-16 09:41:40,808,19.0
2025-04-16 09:41:05,810,17.7
2025-04-16 09:40:30,814,18.1
2025-04-16 09:39:54,817,18.9
2025-04-16 09:39:20,820,18.7
2025-04-16 09:38:45,824,18.3
2025-04-16 09:38:10,828,19.2
2025-04-16 09:37:34,836,18.2
2025-04-16 09:37:00,835,17.4
2025-04-16 09:36:24,834,17.5
2025-04-16 09:35:48,835,18.3
2025-04-16 09:35:14,837,18.5
2025-04-16 09:34:40,838,18.2
2025-04-16 09:34:04,831,18.2
2025-04-16 09:33:27,828,17.5
2025-04-16 09:32:52,827,17.3
2025-04-16 09:32:17,827,17.6
2025-04-16 09:31:41,819,19.8
2025-04-16 09:31:05,811,18.4
2025-04-16 09:30:23,798,19.2
2025-04-16 09:29:48,792,17.7
2025-04-16 09:29:11,784,18.5
2025-04-16 09:28:36,777,18.0
2025-04-16 09:28:02,779,17.8
2025-04-16 09:27:27,790,19.7
2025-04-16 09:26:53,792,18.3
2025-04-16 09:26:17,799,18.1
2025-04-16 09:25:42,799,17.8
2025-04-16 09:25:07,799,18.0
2025-04-16 09:24:33,797,19.0
2025-04-16 09:23:58,793,18.0
2025-04-16 09:23:25,793,18.8
2025-04-16 09:22:51,792,17.4
2025-04-16 09:22:18,794,18.4
2025-04-16 09:21:44,796,19.2
2025-04-16 09:21:10,798,20.8
2025-04-16 09:20:34,797,18.7
2025-04-16 09:20:00,799,19.7
2025-04-16 09:19:25,799,20.4
2025-04-16 09:18:51,800,19.2
2025-04-16 09:18:17,800,19.7
2025-04-16 09:17:43,800,18.9
2025-04-16 09:17:07,797,19.5
2025-04-16 09:16:31,800,19.5
2025-04-16 09:15:57,800,20.8
2025-04-16 09:15:23,795,21.3
2025-04-16 09:14:50,795,18.6
2025-04-16 09:14:16,787,18.2
2025-04-16 09:13:40,776,20.3
2025-04-16 09:13:06,778,18.7
2025-04-16 09:12:30,767,20.3
