時間,CO2(ppm),PM2.5(μg/m³)
2025-04-25 03:36:03,877.6,13.23
2025-04-25 03:36:34,879.6,12.63
2025-04-25 03:37:12,881.6,12.51
2025-04-25 03:37:58,882.6,11.77
2025-04-25 03:38:35,885.6,12.95
2025-04-25 03:39:14,887.6,13.31
2025-04-25 03:39:50,886.6,13.08
2025-04-25 03:40:26,886.6,12.66
2025-04-25 03:41:02,892.6,13.73
2025-04-25 03:41:38,892.6,12.34
2025-04-25 03:42:14,888.6,12.25
2025-04-25 03:42:50,891.6,12.17
2025-04-25 03:43:26,899.6,12.74
2025-04-25 03:44:02,900.6,13.05
2025-04-25 03:44:38,898.6,12.62
2025-04-25 03:45:15,898.6,12.0
2025-04-25 03:45:53,896.6,12.97
2025-04-25 03:46:29,894.6,13.7
2025-04-25 03:47:05,893.6,12.69
2025-04-25 03:47:41,893.6,13.36
2025-04-25 03:48:17,896.6,12.16
2025-04-25 03:48:53,902.6,12.07
2025-04-25 03:49:29,902.6,13.23
2025-04-25 03:50:05,894.6,12.37
2025-04-25 03:50:40,885.6,13.12
2025-04-25 03:51:16,886.6,12.71
2025-04-25 03:51:52,886.6,12.21
2025-04-25 03:52:28,888.6,12.27
2025-04-25 03:53:07,889.6,12.32
2025-04-25 03:53:51,890.6,12.26
2025-04-25 03:54:28,891.6,12.43
2025-04-25 03:55:04,897.6,12.84
2025-04-25 03:55:38,903.6,13.66
2025-04-25 03:56:14,903.6,12.22
2025-04-25 03:56:50,899.6,12.05
2025-04-25 03:57:30,898.6,12.58
2025-04-25 03:58:09,897.6,12.87
2025-04-25 03:58:45,897.6,12.47
2025-04-25 03:59:21,897.6,12.39
2025-04-25 03:59:59,898.6,13.31
2025-04-25 04:00:35,900.6,12.88
2025-04-25 04:01:11,903.6,12.21
2025-04-25 04:01:47,903.6,12.92
2025-04-25 04:02:23,911.6,12.94
2025-04-25 04:03:01,911.6,12.39
2025-04-25 04:03:26,910.6,11.95
2025-04-25 04:04:04,920.6,11.97
2025-04-25 04:04:42,923.6,12.09
2025-04-25 04:05:19,916.6,11.46
2025-04-25 04:05:55,911.6,12.52
2025-04-25 04:06:03,909.6,12.65
2025-04-25 04:06:43,909.6,12.32
2025-04-25 04:08:07,905.6,12.38
2025-04-25 04:13:12,911.6,12.95
2025-04-25 04:36:45,917.6,11.89
2025-04-25 04:37:31,914.6,11.5
2025-04-25 04:38:09,914.6,12.38
2025-04-25 04:38:45,911.6,11.31
2025-04-25 04:39:23,910.6,11.11
2025-04-25 04:40:01,907.6,11.42
2025-04-25 04:40:40,904.6,11.25
2025-04-25 04:41:18,904.6,11.61
2025-04-25 04:42:04,905.6,11.71
2025-04-25 04:42:40,903.6,12.23
2025-04-25 04:43:30,903.6,11.2
2025-04-25 04:44:08,901.6,10.99
2025-04-25 04:44:46,900.6,11.22
2025-04-25 04:45:23,905.6,11.09
2025-04-25 04:46:15,905.6,11.44
2025-04-25 04:47:09,906.6,11.39
2025-04-25 04:47:59,909.6,11.16
2025-04-25 04:48:33,908.6,10.88
2025-04-25 04:49:12,910.6,11.94
2025-04-25 04:51:23,907.6,11.57
2025-04-25 04:51:59,907.6,10.61
2025-04-25 04:52:35,907.6,10.65
2025-04-25 04:53:12,906.6,10.56
2025-04-25 04:53:49,906.6,10.86
2025-04-25 04:55:45,906.6,11.47
2025-04-25 04:56:25,905.6,11.72
2025-04-25 04:57:19,907.6,11.27
2025-04-25 04:57:59,907.6,11.52
2025-04-25 04:58:35,908.6,10.85
2025-04-25 04:59:12,908.6,10.5
2025-04-25 04:59:49,909.6,10.27
2025-04-25 05:00:28,910.6,10.41
2025-04-25 13:03:29,911.6,11.19
2025-04-25 13:04:07,910.6,11.33
2025-04-25 13:04:45,907.6,10.57
2025-04-25 13:05:21,908.6,10.79
2025-04-25 13:06:06,908.6,10.33
2025-04-25 13:06:43,907.6,10.86
2025-04-25 13:07:19,908.6,11.28
2025-04-25 13:07:55,907.6,11.77
2025-04-25 13:08:31,908.6,11.2
2025-04-25 13:09:07,908.6,10.99
2025-04-25 13:09:43,908.6,11.13
2025-04-25 13:10:21,908.6,11.68
2025-04-25 13:10:56,907.6,11.99
2025-04-25 13:11:32,905.6,10.98
2025-04-25 13:12:07,903.6,10.55
2025-04-25 13:12:43,900.6,10.35
2025-04-25 13:13:19,899.6,10.82
2025-04-25 13:13:54,899.6,10.98
2025-04-25 13:14:33,898.6,10.94
2025-04-25 13:15:14,897.6,10.91
2025-04-25 13:15:53,904.6,10.95
2025-04-25 13:16:29,910.6,10.52
2025-04-25 13:17:05,911.6,10.91
2025-04-25 13:17:40,911.6,10.77
2025-04-25 13:18:16,911.6,10.68
2025-04-25 13:18:51,910.6,10.3
2025-04-25 13:19:27,909.6,10.51
2025-04-25 13:20:02,909.6,11.47
2025-04-25 13:20:38,909.6,10.78
