時間,CO2 (ppm),PM2.5 (μg/m³)
2025-04-14 11:38:49,943,11.1
2025-04-14 11:38:15,943,11.3
2025-04-14 11:37:42,945,11.4
2025-04-14 11:37:09,945,12.3
2025-04-14 11:36:36,943,11.8
2025-04-14 11:36:01,942,11.4
2025-04-14 11:35:47,942,10.8
2025-04-14 11:35:19,944,11.4
2025-04-14 11:34:47,944,12.1
2025-04-14 11:34:17,943,11.2
2025-04-14 11:33:47,943,12.0
2025-04-14 11:33:17,947,11.3
2025-04-14 11:32:47,951,11.9
2025-04-14 11:32:16,953,12.6
2025-04-14 11:31:46,954,12.6
2025-04-14 11:31:16,959,10.9
2025-04-14 11:30:46,961,11.2
2025-04-14 10:25:32,861,11.5
2025-04-14 10:24:59,859,11.0
2025-04-14 10:24:26,858,10.5
2025-04-14 10:23:53,858,10.2
2025-04-14 10:23:21,857,11.4
2025-04-14 10:22:53,854,11.4
2025-04-14 10:10:19,840,10.9
2025-04-14 10:09:47,838,10.5
2025-04-14 10:09:13,838,9.5
2025-04-14 10:08:40,840,10.7
2025-04-14 10:08:07,839,11.5
2025-04-14 10:07:34,841,10.3
2025-04-14 09:35:56,824,130
2025-04-14 09:36:32,818,101
2025-04-14 09:37:06,813,109
2025-04-14 09:37:39,817,104
2025-04-14 09:38:13,819,104
2025-04-14 09:38:46,815,110
2025-04-14 09:39:56,803,115
2025-04-14 09:40:30,801,105
2025-04-14 09:41:03,800,105
2025-04-14 09:41:35,802,102
2025-04-14 09:42:11,802,103
2025-04-14 09:42:44,800,102
2025-04-14 09:43:17,798,115
2025-04-14 09:43:50,797,104
2025-04-14 09:46:40,793,101
2025-04-14 09:47:15,794,100
2025-04-14 10:05:43,874,143
2025-04-14 10:06:16,840,119
2025-04-14 10:06:49,841,93
2025-04-14 10:07:22,840,102
2025-04-14 10:12:49,834,112
2025-04-14 10:13:27,831,112
2025-04-14 10:14:05,834,110
2025-04-14 10:15:27,850,111
2025-04-14 10:16:11,852,108
2025-04-14 10:16:47,851,107
2025-04-14 10:17:24,850,107
2025-04-14 10:18:00,849,104
2025-04-14 10:18:32,850,105
2025-04-14 10:19:06,849,110
2025-04-14 10:19:49,851,102
2025-04-14 10:20:24,852,112
2025-04-14 10:20:57,852,107
2025-04-14 10:21:30,850,109
2025-04-14 10:22:04,851,119
2025-04-14 10:22:37,852,110
2025-04-14 10:29:47,881,10.6
2025-04-14 10:30:25,882,10.9
2025-04-14 10:30:58,881,11.1
2025-04-14 10:31:37,882,10.9
2025-04-14 10:32:09,882,10.9
2025-04-14 10:32:44,882,10.7
2025-04-14 10:41:06,894,10.9
2025-04-14 10:41:39,895,11.5
2025-04-14 10:42:11,896,11.2
2025-04-14 10:42:43,896,11.8
2025-04-14 10:43:15,896,11.5
2025-04-14 10:43:47,903,10.5
2025-04-14 10:44:19,903,10.8
2025-04-14 10:44:52,902,10.4
2025-04-14 10:45:24,903,10.9
2025-04-14 10:45:56,904,10.9
2025-04-14 10:46:28,905,11.3
2025-04-14 10:47:00,907,11.9
2025-04-14 10:47:32,905,11.8
2025-04-14 10:55:30,918,10.9
2025-04-14 10:56:05,920,11.6
2025-04-14 10:56:38,921,12.2
2025-04-14 10:57:12,924,11.1
2025-04-14 10:57:47,944,10.6
2025-04-14 10:58:23,946,11.1
2025-04-14 10:59:01,938,10.6
2025-04-14 10:59:36,934,11.0
2025-04-14 11:00:09,933,11.2
2025-04-14 11:00:41,933,11.2
2025-04-14 11:01:14,933,11.0
2025-04-14 11:01:46,932,10.3
2025-04-14 11:02:18,933,10.8
2025-04-14 11:02:50,934,11.2
2025-04-14 11:03:22,934,11.1
2025-04-14 11:03:54,935,11.3
