時間,CO2(ppm),PM2.5(μg/m³)
2025-04-30 12:47:22,940.6,17.96
2025-04-30 12:47:59,939.6,18.2
2025-04-30 12:48:35,941.6,18.7
2025-04-30 12:49:12,941.6,18.02
2025-04-30 12:49:49,942.6,19.64
2025-04-30 12:50:26,942.6,18.27
2025-04-30 12:51:03,942.6,18.33
2025-04-30 12:51:39,942.6,18.89
2025-04-30 12:52:16,943.6,17.64
2025-04-30 12:52:53,943.6,17.46
2025-04-30 12:53:31,944.6,17.89
2025-04-30 12:54:07,944.6,17.83
2025-04-30 12:54:44,945.6,17.77
2025-04-30 12:55:21,946.6,18.7
2025-04-30 12:55:58,946.6,18.95
2025-04-30 14:02:02,913.6,19.89
2025-04-30 14:02:39,977.6,19.95
2025-04-30 14:03:09,951.6,20.27
2025-04-30 14:03:46,938.6,20.2
2025-04-30 14:04:22,932.6,19.7
2025-04-30 14:04:59,916.6,20.33
2025-04-30 14:05:16,914.6,19.95
2025-04-30 14:05:58,910.6,20.33
2025-04-30 14:06:36,908.6,20.52
2025-04-30 14:06:49,907.6,20.89
2025-04-30 14:07:29,906.6,20.39
2025-04-30 14:08:06,905.6,21.02
2025-04-30 14:09:47,899.6,22.15
2025-04-30 14:10:24,898.6,20.45
2025-04-30 14:11:06,898.6,20.2
2025-04-30 14:11:48,901.6,19.2
2025-04-30 14:12:24,902.6,19.64
2025-04-30 14:13:01,902.6,19.45
2025-04-30 14:13:38,900.6,18.95
2025-04-30 14:14:15,899.6,19.64
2025-04-30 14:14:51,899.6,19.02
2025-04-30 14:15:28,898.6,19.83
2025-04-30 14:16:05,898.6,21.52
2025-04-30 14:16:42,899.6,18.83
2025-04-30 14:17:24,899.6,19.2
2025-04-30 14:18:01,898.6,19.08
2025-04-30 14:18:37,898.6,20.64
2025-04-30 14:19:19,911.6,18.89
2025-04-30 14:19:56,915.6,19.83
2025-04-30 14:20:33,913.6,20.2
2025-04-30 14:21:10,911.6,19.39
2025-04-30 14:21:47,911.6,19.83
2025-04-30 14:22:23,911.6,19.77
2025-04-30 14:23:00,909.6,18.39
2025-04-30 14:23:37,910.6,19.2
2025-04-30 14:24:14,908.6,19.89
2025-04-30 14:24:51,908.6,20.64
2025-04-30 14:25:28,906.6,19.95
2025-04-30 14:26:04,906.6,20.33
2025-04-30 14:26:41,906.6,18.83
2025-04-30 14:27:18,905.6,20.58
2025-04-30 14:27:55,904.6,20.27
2025-04-30 14:28:31,904.6,19.14
2025-04-30 14:29:13,903.6,19.2
2025-04-30 14:29:50,904.6,18.64
2025-04-30 14:30:27,903.6,18.64
2025-04-30 14:31:08,903.6,19.08
2025-04-30 14:31:45,903.6,19.64
2025-04-30 14:32:22,902.6,21.52
2025-04-30 14:32:59,901.6,20.39
2025-04-30 14:33:36,902.6,19.64
2025-04-30 14:34:12,903.6,20.02
