時間,CO2 (ppm),PM2.5 (μg/m³)
2025-04-17 10:52:36,1076,15.1
2025-04-17 10:52:03,1075,14.8
2025-04-17 10:51:30,1073,15.8
2025-04-17 10:50:56,1072,15.6
2025-04-17 10:50:22,1069,15.0
2025-04-17 10:49:49,1066,15.1
2025-04-17 10:49:16,1063,15.7
2025-04-17 10:48:43,1063,16.8
2025-04-17 10:48:10,1061,15.9
2025-04-17 10:47:37,1060,15.5
2025-04-17 10:47:03,1060,14.9
2025-04-17 10:46:30,1056,15.5
2025-04-17 10:45:57,1055,15.5
2025-04-17 10:45:23,1050,15.7
2025-04-17 10:44:48,1049,15.4
2025-04-17 10:44:15,1048,16.3
2025-04-17 10:43:42,1046,16.8
2025-04-17 10:43:08,1045,14.3
2025-04-17 10:42:35,1043,14.9
2025-04-17 10:42:01,1044,15.1
2025-04-17 10:41:28,1043,14.8
2025-04-17 10:40:55,1041,15.8
2025-04-17 10:40:21,1039,15.5
2025-04-17 10:39:47,1038,14.8
2025-04-17 10:39:14,1037,15.3
2025-04-17 10:38:40,1037,15.9
2025-04-17 10:38:07,1038,14.9
2025-04-17 10:37:32,1038,14.7
2025-04-17 10:36:59,1036,15.5
2025-04-17 10:36:26,1036,16.4
2025-04-17 10:35:52,1036,15.7
2025-04-17 10:35:19,1035,14.6
2025-04-17 10:34:45,1034,15.1
2025-04-17 10:34:11,1032,14.8
2025-04-17 10:33:38,1032,14.4
2025-04-17 10:33:05,1033,14.9
2025-04-17 10:32:29,1032,14.9
2025-04-17 10:31:53,1032,15.4
2025-04-17 10:31:20,1030,14.9
2025-04-17 10:30:46,1028,15.6
2025-04-17 10:30:12,1027,14.9
2025-04-17 10:29:37,1022,14.8
2025-04-17 10:29:04,1019,14.9
2025-04-17 10:28:31,1014,14.7
2025-04-17 10:27:58,1016,15.2
2025-04-17 10:27:25,1018,15.8
2025-04-17 10:26:52,1018,14.6
2025-04-17 10:26:19,1020,16.0
2025-04-17 10:25:45,1027,15.8
2025-04-17 10:25:10,1036,16.0
2025-04-17 09:30:28,874,16.6
2025-04-17 09:29:53,875,16.7
2025-04-17 09:29:20,874,16.5
2025-04-17 09:28:47,871,16.6
2025-04-17 09:28:14,868,18.2
2025-04-17 09:27:41,869,16.5
2025-04-17 09:27:08,871,16.5
2025-04-17 09:26:35,871,17.5
2025-04-17 09:26:01,870,16.8
2025-04-17 09:25:28,869,17.5
2025-04-17 09:24:55,863,16.8
2025-04-17 09:24:22,857,16.6
2025-04-17 09:23:46,858,17.1
2025-04-17 09:23:13,856,16.8
2025-04-17 09:22:39,851,17.5
2025-04-17 09:22:06,852,17.0
2025-04-17 09:21:30,851,16.8
2025-04-17 09:20:57,853,17.0
2025-04-17 09:20:21,845,19.7
