時間,CO2 (ppm),PM2.5 (μg/m³)
2025-04-21 12:07:32,47.07,476.3
2025-04-21 12:07:41,35.75,702.9
2025-04-21 12:07:43,44.43,834.3
2025-04-21 12:07:43,45.27,718.5
2025-04-21 12:07:44,41.6,722.4
2025-04-21 12:07:47,10.35,425.0
2025-04-21 12:07:49,38.79,908.7
2025-04-21 12:07:51,12.09,857.7
2025-04-21 12:07:52,37.37,716.7
2025-04-21 12:07:55,49.66,852.2
2025-04-21 12:07:55,46.78,519.9
2025-04-21 12:07:57,22.0,516.5
2025-04-21 12:08:02,45.73,790.6
2025-04-21 12:08:24,13.93,925.4
2025-04-21 12:08:24,20.58,890.4
2025-04-21 12:08:25,13.6,792.3
2025-04-21 12:08:35,15.3,502.4
2025-04-21 12:08:43,46.07,693.9
2025-04-21 12:08:48,39.82,753.9
2025-04-21 12:08:53,26.1,502.8
2025-04-21 12:08:55,14.62,553.6
2025-04-21 12:08:57,29.92,680.8
2025-04-21 12:08:58,17.59,505.8
2025-04-21 12:08:58,43.56,941.9
2025-04-21 12:08:58,23.51,563.4
2025-04-21 12:08:59,11.56,439.8
2025-04-21 12:09:00,45.36,932.2
2025-04-21 12:09:01,14.76,810.6
2025-04-21 12:09:06,31.84,456.9
2025-04-21 12:09:06,28.42,737.6
2025-04-21 12:09:07,19.23,635.4
2025-04-21 12:09:12,17.59,579.0
2025-04-21 12:09:14,31.7,730.1
2025-04-21 12:09:20,27.25,797.8
2025-04-21 12:09:26,27.93,728.5
2025-04-21 12:09:30,16.99,539.4
2025-04-21 12:09:43,48.32,770.1
2025-04-21 12:09:45,31.8,633.0
2025-04-21 12:09:46,22.01,872.6
2025-04-21 12:09:49,40.49,967.6
2025-04-21 12:09:49,13.95,425.9
2025-04-21 12:09:50,41.72,975.0
2025-04-21 12:09:53,11.47,856.3
2025-04-21 12:09:53,38.26,699.1
2025-04-21 12:09:57,11.16,412.1
2025-04-21 12:09:57,40.92,808.9
2025-04-21 12:09:59,21.78,573.4
2025-04-21 12:10:01,30.68,864.8
2025-04-21 12:10:03,39.34,889.8
2025-04-21 12:10:04,44.76,458.7
2025-04-21 12:10:07,38.89,651.9
2025-04-21 12:10:16,41.43,752.9
2025-04-21 12:10:17,20.61,450.9
2025-04-21 12:10:19,32.25,851.9
2025-04-21 12:10:22,46.93,707.1
2025-04-21 12:10:23,47.36,641.1
2025-04-21 12:10:23,14.56,609.8
2025-04-21 12:10:24,21.68,959.4
2025-04-21 12:10:27,12.43,634.2
2025-04-21 12:10:34,21.41,713.1
2025-04-21 12:10:36,25.24,595.4
2025-04-21 12:10:36,37.37,907.1
2025-04-21 12:10:38,33.92,987.9
2025-04-21 12:10:41,13.59,940.8
2025-04-21 12:10:43,28.38,779.9
2025-04-21 12:10:44,27.37,767.3
2025-04-21 12:10:53,42.19,916.1
2025-04-21 12:10:55,26.84,695.5
2025-04-21 12:10:57,28.04,847.7
2025-04-21 12:10:57,15.63,817.5
2025-04-21 12:11:03,39.01,492.9
2025-04-21 12:11:04,49.04,986.8
2025-04-21 12:11:04,45.98,952.8
2025-04-21 12:11:05,22.09,636.1
2025-04-21 12:11:13,28.3,806.6
2025-04-21 12:11:13,48.38,566.3
2025-04-21 12:11:18,38.05,400.3
2025-04-21 12:11:19,36.4,909.1
2025-04-21 12:11:20,32.97,760.8
2025-04-21 12:11:23,29.56,922.8
2025-04-21 12:11:23,35.29,406.3
2025-04-21 12:11:23,36.47,990.5
2025-04-21 12:11:29,39.48,906.6
2025-04-21 12:11:30,35.09,502.9
2025-04-21 12:11:34,29.16,629.7
2025-04-21 12:11:37,48.53,692.7
2025-04-21 12:11:37,14.58,663.2
2025-04-21 12:11:41,48.5,604.4
2025-04-21 12:11:43,15.15,627.7
2025-04-21 12:11:43,27.87,857.3
2025-04-21 12:11:43,34.62,880.4
2025-04-21 12:11:44,19.4,540.6
2025-04-21 12:11:48,20.3,780.4
2025-04-21 12:11:55,46.13,426.0
2025-04-21 12:11:58,31.53,577.0
2025-04-21 12:11:59,20.82,449.0
2025-04-21 12:12:02,16.65,693.2
2025-04-21 12:12:02,22.81,650.6
2025-04-21 12:12:02,11.22,768.0
2025-04-21 12:12:02,15.15,526.4
2025-04-21 12:12:07,11.97,434.3
2025-04-21 12:12:08,45.75,689.1
2025-04-21 12:12:08,42.51,869.1
2025-04-21 12:12:12,10.12,708.9
2025-04-21 12:12:17,19.93,876.7
