時間,CO2 (ppm),PM2.5 (μg/m³)
2025-04-11 11:42:44,1087,271
2025-04-11 11:43:18,1087,273
2025-04-11 11:43:50,1090,265
2025-04-11 11:44:26,1091,261
2025-04-11 11:45:01,1094,272
2025-04-11 11:56:46,1123,255
2025-04-11 11:57:19,1123,256
2025-04-11 11:57:52,1131,262
2025-04-11 11:58:25,1144,255
2025-04-11 11:58:57,1147,264
2025-04-11 11:59:30,1146,266
2025-04-11 12:00:03,1140,257
2025-04-11 12:00:36,1138,251
2025-04-11 12:01:08,1134,253
2025-04-11 12:01:41,1135,251
2025-04-11 12:02:13,1133,262
2025-04-11 12:02:48,1131,251
2025-04-11 12:03:20,1129,266
